train_sizes,train_mse,train_mse_std,cv_mse,cv_mse_std
77,2.129465206e-05,1.821879711e-06,0.005138264009,0.001661215098
140,2.005589704e-05,9.321954196e-07,0.003799130311,0.001635329479
203,1.872701111e-05,5.29229516e-07,0.002773345825,0.001328319272
266,1.841835731e-05,7.565209873e-07,0.002211007238,0.0008907298016
329,1.78984166e-05,7.388555253e-07,0.002022292147,0.001013707794
392,1.756332858e-05,4.181454936e-07,0.002109746381,0.001123348913
455,1.815185796e-05,5.770630422e-07,0.002095772367,0.00106645532
518,1.718905717e-05,4.403479501e-07,0.002165187325,0.001152392575
