train_sizes,train_mse,train_mse_std,cv_mse,cv_mse_std
77,0.004037991252,0.0002289557332,0.008186270172,0.0007318622932
140,0.003584277043,0.0005255715964,0.006089356489,0.001277336339
203,0.003231167805,0.000383241498,0.005723232408,0.001144999088
266,0.003115588302,0.0002013594032,0.005127126021,0.001211496332
329,0.003203397034,0.0002504106632,0.005053870243,0.001245645184
392,0.003148508041,0.0001518427835,0.004771846092,0.001413464191
455,0.003156948721,0.0001717662638,0.004806823667,0.001248929922
518,0.003020794341,0.0002318807529,0.00482018825,0.001469085249
