train_sizes,train_mse,train_mse_std,cv_mse,cv_mse_std
77,6.281046253e-05,3.407161792e-06,0.003218099193,0.001273049458
140,5.913366008e-05,5.446005819e-06,0.00294061049,0.002124550714
203,5.400399532e-05,3.259891315e-06,0.003498693289,0.002438410401
266,4.974568157e-05,1.843765783e-06,0.003384245767,0.002413558271
329,4.750056634e-05,7.211600352e-07,0.002978243208,0.001966627738
392,4.789726436e-05,2.089738283e-06,0.002645796057,0.001527930152
455,4.540640508e-05,1.244208779e-06,0.001885463364,0.0006030104127
518,4.550665467e-05,1.85280893e-06,0.002071009046,0.0009249115838
