epoch,train_mse,val_mse,grad_norm
1,0.01894350881,0.01717584464,0.9647345747
2,0.01325813731,0.0103757518,0.7821336326
3,0.01366276202,0.0108864336,0.4625995832
4,0.01370739378,0.01024721351,0.7221422101
5,0.01330449605,0.01022832762,0.5251685363
6,0.01264910028,0.009159216089,0.3620937867
7,0.01121771439,0.00824613364,0.7954794922
8,0.01094017594,0.007740276523,0.5685466125
9,0.01206054933,0.009013817579,0.7545235087
10,0.01145471348,0.00856602053,0.5572234441
11,0.01022907783,0.007186698937,0.6738949662
12,0.01137251875,0.008290581196,0.5189649825
13,0.01341707381,0.01033680567,0.4914607767
14,0.01087419031,0.007799426268,0.586608387
15,0.00943976194,0.006557526328,0.7957538957
16,0.01175443188,0.008616820587,0.7744032374
17,0.01130240383,0.008426818966,0.7894069584
18,0.0143720465,0.01115269321,0.6369504395
19,0.008646726286,0.006113728686,0.608562076
20,0.009659646695,0.006747913465,0.5167511839
21,0.0127433614,0.01049284511,0.6590100963
22,0.01017071139,0.007533244683,0.5095231416
23,0.009326268246,0.006625069626,0.6687384822
24,0.008341700703,0.005939247386,1.112661758
25,0.0124552205,0.01075474257,0.9561693091
26,0.01222798384,0.009881578095,0.725413268
27,0.01693004114,0.01443161841,0.7047789416
28,0.008694817165,0.006666650564,0.8703809051
29,0.007475070978,0.005373943082,0.4341869678
30,0.008734854072,0.006576855414,0.6668384228
31,0.007436904664,0.005352407012,0.6142343573
32,0.007262476325,0.005405794308,0.6694080953
33,0.008208044124,0.006248926644,0.6040157496
34,0.007415544111,0.005360922296,0.6383656797
35,0.009379118426,0.007654312921,0.5873382686
36,0.00755962958,0.005745551142,0.6042122686
37,0.007257528578,0.005225657364,0.3952463161
38,0.007429161528,0.00544606974,0.569242064
39,0.008886452748,0.007213472191,0.51534035
40,0.00739618614,0.005487030994,0.5502715037
41,0.017615398,0.01616172796,1.188777546
42,0.007252557195,0.005759720707,1.079894006
43,0.01041087828,0.008854131501,0.5157995109
44,0.007695390619,0.005813224253,0.8636470854
45,0.007250454797,0.005973387924,0.8159698369
46,0.007227464059,0.005302517556,0.3258646982
47,0.006953970376,0.005221294506,0.9665721232
48,0.007236734358,0.005919139256,0.7081706673
49,0.00670813226,0.005208242312,0.5314074541
50,0.008310420826,0.006657296104,0.4730264132
51,0.007577516452,0.005999795693,0.573640518
52,0.007339872386,0.005638882244,0.5969632672
53,0.006895877771,0.005752585633,0.3362836413
54,0.01269537668,0.0109413152,0.9331876591
55,0.00689327202,0.005612642414,0.8083605045
56,0.006417130911,0.00497449979,0.5793523939
57,0.009141895238,0.007671393287,0.6478228055
58,0.006328817945,0.004746355423,0.5838068432
59,0.006474305963,0.005443901015,0.5945360986
60,0.006166809095,0.004850293235,0.3332602227
61,0.006597152574,0.005165033548,0.3833710614
62,0.007295139526,0.005844731165,0.5876166282
63,0.006853541503,0.005533998731,0.5434761475
64,0.0065126809,0.005299500286,0.5156847893
65,0.006002397659,0.004717107672,0.5712820685
66,0.01539658336,0.01374771437,1.014952042
67,0.008831008325,0.007835742098,0.9850540767
68,0.00735606122,0.005971065146,0.5287110582
69,0.006081487751,0.004915418357,0.4249190989
70,0.007455555038,0.006112255018,0.5553004416
71,0.007381314387,0.006078425463,0.5436117182
72,0.006822641769,0.005464698611,0.6173453596
73,0.005752539113,0.00450894089,0.6338707018
74,0.005707394259,0.004357408959,0.3140530284
75,0.006759073969,0.005510959135,0.446313424
76,0.0058371141,0.00467429255,0.4757252883
77,0.005582891965,0.004207229723,0.341343587
78,0.005496375233,0.004220402098,0.2732478974
