gen,best_train_mse,mean_train_mse,val_mse,sigma,diversity
1,0.01541084095,0.739419871,0.01333347751,0.1498646135,0.2486087494
2,0.01541084095,0.6432724098,0.01333347751,0.1497293491,0.2688949417
3,0.01541084095,0.8047535072,0.01333347751,0.1495942069,0.2899701739
4,0.01541084095,1.162571216,0.01333347751,0.1494591866,0.3072343258
5,0.01416147957,1.250649586,0.009149694147,0.1493242882,0.3237650714
6,0.01416147957,1.279265131,0.009149694147,0.1491895116,0.3408375082
7,0.01416147957,1.41855597,0.009149694147,0.1490548566,0.3583580544
8,0.01416147957,1.421501945,0.009149694147,0.1489203231,0.3759995117
9,0.01416147957,1.675416315,0.009149694147,0.1487859111,0.3919848442
10,0.01416147957,1.675121345,0.009149694147,0.1486516204,0.4031627443
11,0.01416147957,1.407538856,0.009149694147,0.1485174509,0.4201872127
12,0.01416147957,1.653235289,0.009149694147,0.1483834025,0.4375385625
13,0.01416147957,1.756826731,0.009149694147,0.1482494751,0.4646378401
14,0.01416147957,2.603751874,0.009149694147,0.1481156685,0.4789425605
15,0.01416147957,2.202269886,0.009149694147,0.1479819827,0.4921700514
16,0.01416147957,2.156687258,0.009149694147,0.1478484176,0.5015070028
17,0.01400552639,2.083969547,0.01092973647,0.1477149731,0.5169928334
18,0.01400552639,2.599925322,0.01092973647,0.147581649,0.5389279753
19,0.01400552639,2.800778362,0.01092973647,0.1474484452,0.5272251327
20,0.01400552639,2.763198021,0.01092973647,0.1473153616,0.5527026161
21,0.01400552639,2.958726237,0.01092973647,0.1471823982,0.5659180423
22,0.01400552639,2.675528568,0.01092973647,0.1470495548,0.5825000948
23,0.01400552639,3.031473501,0.01092973647,0.1469168313,0.5992488509
24,0.01400552639,2.883522792,0.01092973647,0.1467842275,0.6121976352
25,0.01400552639,2.726838537,0.01092973647,0.1466517435,0.6190086149
26,0.01400552639,3.232142326,0.01092973647,0.146519379,0.6251265174
27,0.01400552639,2.65936891,0.01092973647,0.146387134,0.6182372723
28,0.01400552639,2.855557457,0.01092973647,0.1462550084,0.633595465
29,0.01400552639,2.886585313,0.01092973647,0.146123002,0.6363976479
30,0.01400552639,3.070245176,0.01092973647,0.1459911148,0.6317116595
31,0.01400552639,3.200082476,0.01092973647,0.1458593466,0.6490039532
32,0.01400552639,2.994538098,0.01092973647,0.1457276973,0.6649789159
33,0.01400552639,3.759485308,0.01092973647,0.1455961669,0.6880693049
34,0.01400552639,3.138429174,0.01092973647,0.1454647552,0.7090551375
35,0.01400552639,3.463337903,0.01092973647,0.145333462,0.7281836379
36,0.01400552639,2.88675311,0.01092973647,0.1452022874,0.750704821
37,0.01400552639,4.428545767,0.01092973647,0.1450712312,0.775793473
38,0.01400552639,4.19394989,0.01092973647,0.1449402933,0.7789948416
39,0.01400552639,3.235054499,0.01092973647,0.1448094735,0.7768283908
40,0.01400552639,3.48956321,0.01092973647,0.1446787718,0.8043934141
41,0.01400552639,3.168908,0.01092973647,0.1445481881,0.7828481179
42,0.01400552639,2.470890134,0.01092973647,0.1444177223,0.7711365251
43,0.01400552639,2.320596866,0.01092973647,0.1442873742,0.7783136817
44,0.01400552639,2.182162133,0.01092973647,0.1441571438,0.800585808
45,0.01400552639,2.074702852,0.01092973647,0.1440270309,0.8011456584
46,0.01400552639,1.768528457,0.01092973647,0.1438970354,0.8105001246
47,0.01400552639,2.410469641,0.01092973647,0.1437671573,0.8051593768
48,0.01400552639,2.234778129,0.01092973647,0.1436373964,0.805713219
49,0.01400552639,1.861615645,0.01092973647,0.1435077526,0.7733265962
50,0.01400552639,2.241380645,0.01092973647,0.1433782258,0.7600641166
51,0.01400552639,1.628900964,0.01092973647,0.143248816,0.7382839141
52,0.01400552639,1.703595124,0.01092973647,0.1431195229,0.717838679
53,0.01400552639,1.688397935,0.01092973647,0.1429903465,0.6951595971
54,0.01400552639,1.589953684,0.01092973647,0.1428612868,0.6822794923
55,0.01400552639,1.294409831,0.01092973647,0.1427323435,0.6742089561
56,0.01400552639,1.266152904,0.01092973647,0.1426035166,0.6790169046
57,0.01400552639,1.399769726,0.01092973647,0.1424748059,0.6811933195
58,0.01400552639,1.295928923,0.01092973647,0.1423462115,0.6749177188
59,0.01400552639,1.05640853,0.01092973647,0.1422177331,0.6636821318
60,0.01400552639,1.1248882,0.01092973647,0.1420893706,0.6536121039
61,0.01400552639,1.083365189,0.01092973647,0.1419611241,0.6488889122
62,0.01400552639,1.381739388,0.01092973647,0.1418329933,0.6502701059
63,0.01344397927,1.420508295,0.01027719195,0.1417049781,0.6735576219
64,0.01344397927,1.415036073,0.01027719195,0.1415770785,0.6789956452
65,0.01344397927,1.404675091,0.01027719195,0.1414492943,0.6973649051
66,0.01344397927,1.635201988,0.01027719195,0.1413216254,0.7227870505
67,0.01344397927,1.614556102,0.01027719195,0.1411940718,0.713696304
68,0.01278077957,1.73061201,0.01216502063,0.1410666333,0.7206782476
69,0.01278077957,2.079326945,0.01216502063,0.1409393098,0.7521148894
70,0.01278077957,1.568967574,0.01216502063,0.1408121013,0.76529451
71,0.01278077957,1.820771273,0.01216502063,0.1406850075,0.7656530878
72,0.01278077957,1.587756325,0.01216502063,0.1405580285,0.7760287757
73,0.01278077957,2.45513762,0.01216502063,0.1404311641,0.8055825877
74,0.01278077957,1.506987186,0.01216502063,0.1403044142,0.8065997365
75,0.01278077957,1.899440354,0.01216502063,0.1401777786,0.8243407175
76,0.01278077957,1.74269046,0.01216502063,0.1400512574,0.8392898224
77,0.01278077957,1.454172035,0.01216502063,0.1399248504,0.8484060369
