gen,best_train_mse,mean_train_mse,val_mse,sigma,diversity
1,0.1434550722,0.8228361808,0.1455648376,0.1498646135,0.2464647699
2,0.08805430791,0.7493285959,0.05742720892,0.1497293491,0.2631066509
3,0.03675627102,0.6954202267,0.02663819527,0.1495942069,0.2769998654
4,0.03675627102,0.7629757162,0.02663819527,0.1494591866,0.2877805437
5,0.03675627102,0.6697424481,0.02663819527,0.1493242882,0.3030476601
6,0.02256567665,0.6732493929,0.01846916813,0.1491895116,0.3156985815
7,0.02256567665,0.6932317236,0.01846916813,0.1490548566,0.3303922518
8,0.02256567665,0.6505489412,0.01846916813,0.1489203231,0.3411320565
9,0.01747446789,0.5488888718,0.01256785882,0.1487859111,0.3500234541
10,0.01747446789,0.5214360353,0.01256785882,0.1486516204,0.3563435841
11,0.01747446789,0.4551953002,0.01256785882,0.1485174509,0.3664827333
12,0.01747446789,0.4755930184,0.01256785882,0.1483834025,0.3721303159
13,0.01747446789,0.4250151401,0.01256785882,0.1482494751,0.3839284506
14,0.01747446789,0.4563178684,0.01256785882,0.1481156685,0.4014144499
15,0.01747446789,0.4829950069,0.01256785882,0.1479819827,0.4075821101
16,0.01747446789,0.5042628319,0.01256785882,0.1478484176,0.4099860739
17,0.01747446789,0.4519671984,0.01256785882,0.1477149731,0.4087740967
18,0.01747446789,0.4508601815,0.01256785882,0.147581649,0.4196477552
19,0.01747446789,0.4480140863,0.01256785882,0.1474484452,0.4266640062
20,0.01747446789,0.5128431862,0.01256785882,0.1473153616,0.4191710587
21,0.01747446789,0.4916883848,0.01256785882,0.1471823982,0.4084377331
22,0.01710348327,0.4019433227,0.01308248682,0.1470495548,0.3941325353
23,0.01710348327,0.3935505239,0.01308248682,0.1469168313,0.3821395234
24,0.01710348327,0.3477932616,0.01308248682,0.1467842275,0.3654068476
25,0.01710348327,0.3344770278,0.01308248682,0.1466517435,0.3425882875
26,0.01710348327,0.276451808,0.01308248682,0.146519379,0.3127684687
27,0.01710348327,0.3357189043,0.01308248682,0.146387134,0.2936228754
28,0.01710348327,0.3073379207,0.01308248682,0.1462550084,0.2825908871
29,0.01710348327,0.2896433893,0.01308248682,0.146123002,0.2828645827
30,0.01710348327,0.2800845755,0.01308248682,0.1459911148,0.2766085805
31,0.01710348327,0.2748012541,0.01308248682,0.1458593466,0.2779093873
32,0.01710348327,0.3357700263,0.01308248682,0.1457276973,0.2812564569
33,0.01710348327,0.3063683866,0.01308248682,0.1455961669,0.2893243599
34,0.01710348327,0.3227897568,0.01308248682,0.1454647552,0.2903778233
35,0.01710348327,0.2773846435,0.01308248682,0.145333462,0.2870842421
36,0.01710348327,0.2725761712,0.01308248682,0.1452022874,0.2831951102
37,0.01666469878,0.325499343,0.01273665166,0.1450712312,0.2948600788
38,0.01666469878,0.3382026971,0.01273665166,0.1449402933,0.3129296271
39,0.01666469878,0.3315953595,0.01273665166,0.1448094735,0.3104731515
40,0.01666469878,0.3097929357,0.01273665166,0.1446787718,0.3115427127
41,0.01666469878,0.3112843212,0.01273665166,0.1445481881,0.3166937732
42,0.01666469878,0.3219205063,0.01273665166,0.1444177223,0.3189524581
43,0.01666469878,0.2667494499,0.01273665166,0.1442873742,0.325477764
44,0.01666469878,0.2985909803,0.01273665166,0.1441571438,0.3328083765
45,0.01666469878,0.2857254374,0.01273665166,0.1440270309,0.3383101382
46,0.01666469878,0.4158154809,0.01273665166,0.1438970354,0.3466060159
47,0.01666469878,0.3402090695,0.01273665166,0.1437671573,0.3356851863
48,0.01666469878,0.3240509508,0.01273665166,0.1436373964,0.3471808947
49,0.01666469878,0.3572504531,0.01273665166,0.1435077526,0.355866896
50,0.01666469878,0.3017547151,0.01273665166,0.1433782258,0.3626439901
51,0.01666469878,0.3370194547,0.01273665166,0.143248816,0.3749641123
52,0.01666469878,0.3202860792,0.01273665166,0.1431195229,0.3881906082
53,0.01666469878,0.2842408848,0.01273665166,0.1429903465,0.3988120344
54,0.01666469878,0.2736741712,0.01273665166,0.1428612868,0.4052311915
55,0.01666469878,0.2991114947,0.01273665166,0.1427323435,0.4110989236
56,0.01666469878,0.3211074893,0.01273665166,0.1426035166,0.4226410324
57,0.01666469878,0.3179144696,0.01273665166,0.1424748059,0.4232984731
58,0.01646017263,0.3370632525,0.01365513636,0.1423462115,0.4285188328
59,0.01646017263,0.2851495551,0.01365513636,0.1422177331,0.4367208084
60,0.01646017263,0.2790455644,0.01365513636,0.1420893706,0.4565716245
61,0.01646017263,0.3163726813,0.01365513636,0.1419611241,0.4595348663
62,0.01646017263,0.3116683464,0.01365513636,0.1418329933,0.4637147522
63,0.01481771582,0.3276340308,0.01253684334,0.1417049781,0.4732249588
64,0.01481771582,0.3612851595,0.01253684334,0.1415770785,0.4786291247
65,0.01481771582,0.3187343328,0.01253684334,0.1414492943,0.4789685098
66,0.01481771582,0.3318380519,0.01253684334,0.1413216254,0.4777973259
67,0.01481771582,0.3705563192,0.01253684334,0.1411940718,0.492681164
68,0.01481771582,0.3658658937,0.01253684334,0.1410666333,0.4965348567
69,0.01481771582,0.4071482372,0.01253684334,0.1409393098,0.5105650975
70,0.01481771582,0.3845925458,0.01253684334,0.1408121013,0.5215092262
71,0.01420844766,0.3339836209,0.01134362307,0.1406850075,0.5128009344
72,0.01420844766,0.3418483106,0.01134362307,0.1405580285,0.5021610888
73,0.01420844766,0.3694071039,0.01134362307,0.1404311641,0.5055882077
74,0.01230210554,0.3225330525,0.008958214274,0.1403044142,0.5071239263
75,0.01230210554,0.3125984799,0.008958214274,0.1401777786,0.521075559
76,0.01230210554,0.3828701397,0.008958214274,0.1400512574,0.5329799044
77,0.01230210554,0.3940105829,0.008958214274,0.1399248504,0.5215809974
78,0.01230210554,0.4285466083,0.008958214274,0.1397985575,0.5292464097
79,0.01230210554,0.4629026652,0.008958214274,0.1396723785,0.5434314895
80,0.01230210554,0.4609955794,0.008958214274,0.1395463135,0.5442621939
81,0.01230210554,0.4544400122,0.008958214274,0.1394203622,0.5456985037
