epoch,train_mse,val_mse,grad_norm
1,0.04862154293,0.04417856563,4.11026454
2,0.01995720353,0.01450875482,0.8400545775
3,0.01275871066,0.01008361526,0.5239804547
4,0.009870555899,0.006679827294,0.8785842183
5,0.009613888098,0.007056092065,0.6618386702
6,0.008719482291,0.005694634538,0.5865758197
7,0.007126919422,0.005047493376,0.375413799
8,0.006210535872,0.003886845487,0.4825622578
9,0.006104959563,0.003687008497,0.3319253509
10,0.006199270856,0.004157774487,0.4707202258
11,0.005601284903,0.003333302203,0.339690948
12,0.004356069347,0.003019505251,0.4137729124
13,0.004112239014,0.002931337994,0.4002869066
14,0.007157121956,0.006240736304,0.3432584246
15,0.003730592154,0.002232272607,0.5239182876
16,0.00374529759,0.002413024631,0.4677838335
17,0.004402158061,0.00358825621,0.2887898228
18,0.003299670104,0.002422366375,0.3979936795
19,0.003796664146,0.002588323039,0.262631151
20,0.003400927961,0.002465275421,0.2170624733
21,0.003790830344,0.003165910266,0.3084413905
22,0.002787885783,0.001925436271,0.2351539864
23,0.002827932962,0.001779304243,0.2089167787
24,0.003057958021,0.00217167564,0.2038822259
25,0.002444042967,0.001425735648,0.2336682213
26,0.003011089962,0.001812755603,0.2165610895
27,0.003183259775,0.002454437828,0.3355525529
28,0.00266917234,0.002047986904,0.2068331863
29,0.002314135781,0.001439480554,0.3105572913
30,0.002394574743,0.00122069567,0.2645094172
31,0.002661218815,0.001510955511,0.2287226974
32,0.002075620271,0.001253146549,0.1764817402
33,0.002142437368,0.001401208205,0.2501599031
34,0.002006169858,0.00115891976,0.3118622722
35,0.002051085308,0.001329609554,0.2055141589
36,0.001918561212,0.001156741523,0.252923847
37,0.002550298543,0.001637974147,0.2848196287
38,0.001828467958,0.0009315355101,0.1464777472
39,0.001712866751,0.0009456766553,0.1337546813
40,0.002480601007,0.001944349366,0.2666789597
41,0.001581336003,0.0009270384374,0.2170797005
42,0.001650331099,0.000957673904,0.2535521108
43,0.001539981628,0.0007826097579,0.4739824148
44,0.001636122796,0.0009813704161,0.5715109581
45,0.001589735491,0.0009319321397,0.3549161316
46,0.001476337504,0.0008991874253,0.305828674
47,0.001473479941,0.0008185097432,0.1314526495
48,0.001595910442,0.0009644650573,0.1860788415
49,0.001545504287,0.0008633715205,0.1816230258
50,0.003999779529,0.003365730732,0.2693564144
51,0.001884347567,0.001210970632,0.4612945581
52,0.001470200578,0.000753853737,0.1803460991
53,0.002530321936,0.002015877137,0.1676871268
54,0.001664095453,0.001132449921,0.1660553416
55,0.001414401919,0.0009611071173,0.1732159634
56,0.00124153563,0.0006354615679,0.1702732443
57,0.002343407427,0.00201600964,0.3188957536
58,0.001348513496,0.0008122450729,0.3031954408
59,0.002392902786,0.002076555976,0.2536922834
60,0.001162188568,0.000626469117,0.2960317052
61,0.001341782883,0.0007982597865,0.1396764302
62,0.002447606628,0.002131453619,0.2368214047
63,0.001231421303,0.0006585765613,0.2484001467
64,0.001556273252,0.001004540373,0.2383149249
65,0.001345237402,0.0009308221929,0.2660771204
66,0.001270906168,0.0008758141857,0.2183435598
67,0.002773771159,0.002124374635,0.2678224735
68,0.001254055207,0.0007245103533,0.1902681616
69,0.001165161352,0.0006338108785,0.1938417778
70,0.001095414763,0.0006289273564,0.1112159392
71,0.00137856431,0.001001515583,0.1325721597
72,0.001707628223,0.001352637029,0.264162994
73,0.001167620581,0.0008430120283,0.1610552979
74,0.001220270611,0.0007885205069,0.1925052397
75,0.001230807042,0.000869367385,0.2711255452
76,0.001557163783,0.001199768978,0.2491848808
77,0.001064055417,0.0006694543259,0.2051015222
78,0.001091401602,0.0008027738542,0.1405514683
79,0.00097252377,0.0006612528699,0.1911480619
80,0.001021146209,0.0006115768734,0.1742096865
81,0.001287737104,0.001053668382,0.1440945409
82,0.0009739164152,0.0007141176692,0.1457239804
83,0.0009752057586,0.0006300040589,0.1744348002
84,0.001081022794,0.0007898911867,0.291406295
85,0.001037096429,0.0007376525311,0.2206595457
86,0.0008740592043,0.000524136716,0.1765098675
87,0.0009264814412,0.0006297656462,0.1350993892
88,0.0008478757005,0.0005201138492,0.1664296675
89,0.001027460276,0.0006779850177,0.2131980325
90,0.0009156409964,0.0006426662798,0.1696388727
91,0.0008413817971,0.0005498416742,0.1293832242
92,0.0009866107607,0.0006789304587,0.1105478255
93,0.00108172856,0.0007886752481,0.1736363867
94,0.001146979226,0.0008564997508,0.1235958734
95,0.001714451354,0.001484953623,0.1251777252
96,0.000935422983,0.0006744164252,0.2434015346
97,0.001211809155,0.001098644013,0.1842310577
98,0.001119898861,0.0007193414512,0.1646285921
99,0.00136928063,0.00098051531,0.1277006673
100,0.0009536707903,0.0005894007619,0.1640829947
101,0.001008224065,0.0007861779983,0.1613422419
102,0.001936974575,0.001868206925,0.1877879858
103,0.002713822934,0.002030553865,0.2333130193
104,0.001749355956,0.001578410919,0.2292550009
105,0.002988304117,0.002943012807,0.2739067798
106,0.001219674146,0.001038740115,0.245752538
107,0.001124632033,0.000761267372,0.1823149139
108,0.001178249906,0.001010286844,0.1589167322
109,0.0008123176944,0.0005854006479,0.1150017101
110,0.0008623723379,0.0006324497896,0.2975279182
111,0.001138124169,0.0009779820689,0.2175381625
112,0.0007541078062,0.0005255649538,0.2338077751
113,0.0008090737322,0.0006556384078,0.1092756213
114,0.001207050132,0.001104211838,0.1511932237
115,0.001104528132,0.0006973108801,0.1850449338
116,0.0007503928224,0.0005254631476,0.1381173249
117,0.0008491313362,0.0006177753856,0.1373815633
118,0.0007778959332,0.0006512420144,0.1053513577
119,0.000834492641,0.0006367826477,0.1592230752
120,0.001160496406,0.001004994608,0.19739631
121,0.001629551753,0.001677313547,0.1330065428
122,0.0006836956188,0.0004996121826,0.1832945373
123,0.0008043747601,0.0006041321131,0.08483453059
124,0.000810915687,0.0006706481229,0.08927428024
125,0.0008503735679,0.0007208213792,0.1500508746
126,0.0009519285777,0.0008611487587,0.1463737406
127,0.0008790320169,0.0006868940871,0.1268134082
128,0.0006412370184,0.0004689172332,0.1942351784
129,0.0005970899219,0.000481345572,0.1020629952
130,0.0008492408445,0.0005857119823,0.1903170317
131,0.002841812269,0.00303896047,0.2828811515
132,0.0006753499176,0.0005238016367,0.2297311529
133,0.0005930028548,0.0004461034252,0.1555302197
134,0.000737750411,0.0006639147794,0.109435599
135,0.0006917466041,0.0005904757919,0.160535173
136,0.000987671253,0.0008937123091,0.1361685001
137,0.000666642963,0.000531029882,0.1310616729
138,0.0008579551988,0.000829784549,0.10760521
139,0.0007446660583,0.0006455251843,0.1170356152
140,0.0007235288051,0.0005448829086,0.1852226488
141,0.0005972427074,0.0004510831875,0.1861461887
142,0.0007639791518,0.0006557728141,0.1094331457
143,0.0007750176516,0.0006119019814,0.120763503
144,0.0005510499388,0.0004759672667,0.07361260261
145,0.000716634096,0.0006750123358,0.2066011548
146,0.001001208164,0.0008908274549,0.1986167834
147,0.0006643439866,0.0005824680119,0.1828216006
148,0.0005503912633,0.0004532531069,0.2587075044
149,0.0009047106609,0.0007574795521,0.1723401341
150,0.0005740214355,0.0005069280358,0.1388883575
151,0.0006494976213,0.0006161780874,0.1211294411
152,0.001110264349,0.001033521954,0.1281458034
153,0.0007173208468,0.0006213260933,0.1467721854
154,0.0006284854633,0.0006170421575,0.1140979097
155,0.0005277064174,0.00052124411,0.09333039951
156,0.0005095735481,0.0004302475077,0.1037938035
157,0.0004441606516,0.0003961242787,0.1215128529
158,0.000443806379,0.0004038485139,0.1189655608
159,0.0009294184092,0.000887694399,0.1185805099
160,0.0005698286907,0.0004980658429,0.135381523
161,0.0005719713416,0.0004691146457,0.126567
162,0.0007980020239,0.0007437104196,0.1030947094
163,0.001482519005,0.001228985473,0.1424161571
164,0.0009839147978,0.0008497543726,0.1668868352
165,0.001548501187,0.001706392846,0.2166244081
166,0.0004991224484,0.0004091764458,0.1510674227
167,0.001038073538,0.0009325510766,0.1155240329
168,0.0008336317628,0.0007594828573,0.153465729
169,0.0005065283069,0.0004015338616,0.08797053225
170,0.0004050494932,0.0003624993349,0.1160728941
171,0.0007907886206,0.0007075797788,0.1135074625
172,0.0004877855813,0.0004268320669,0.1239611368
173,0.0005439525403,0.000431594398,0.1648005923
174,0.0004852338496,0.0003748496238,0.1338846699
175,0.0007200620883,0.0007430559916,0.1189765528
176,0.0005290136839,0.0005402535131,0.1188539414
177,0.0006044352916,0.0005677505527,0.1118289089
178,0.0008911189961,0.0008927114493,0.1208602183
179,0.0008402319791,0.0007690481714,0.106103294
180,0.0007239215642,0.0006333134695,0.1384121824
181,0.0007070226372,0.0008363636244,0.1473990676
182,0.0006137480722,0.0005849030054,0.1235765882
183,0.0004957264086,0.0004911231174,0.1269807786
184,0.0003856662895,0.0003595804364,0.1018320493
185,0.0006635855118,0.0006041526791,0.09463619731
186,0.0005302953945,0.0004878438796,0.1147481692
187,0.0005831514877,0.0005444513211,0.1217504774
188,0.0005639449955,0.0005759294208,0.08440659752
189,0.0005595167695,0.0005755126553,0.09721004922
190,0.0003955802632,0.0003640894789,0.1225027888
191,0.0008487121429,0.0005861051817,0.08330752775
192,0.0004961876679,0.0004274773264,0.1138681187
193,0.0005910551676,0.0006519208923,0.1258411861
194,0.0005707454029,0.0005510836686,0.1085821849
195,0.0008659855305,0.0008825858856,0.1501968067
196,0.0004462576898,0.0004790515229,0.1627042576
197,0.0004412419027,0.0004561041853,0.125427202
198,0.0004058487329,0.000406102085,0.1048698365
199,0.0008720790217,0.000724527722,0.09316902904
200,0.0006040743765,0.0006365129724,0.1077263845
201,0.0003791071846,0.0003610567521,0.1028729306
202,0.0003249812438,0.0003322829275,0.06664916217
203,0.0006910288544,0.0007039718453,0.08848002026
204,0.0003844396882,0.0004100193509,0.1360677871
205,0.0007007990535,0.0006296894976,0.09784925693
206,0.001030305912,0.0009610051602,0.1168710558
207,0.0004386637434,0.0004005955227,0.1000209019
208,0.0004797776475,0.0004345437165,0.08606366081
209,0.0004759256882,0.0004728023723,0.08377318161
210,0.0007119332206,0.0006663889997,0.1042225489
211,0.0006775400274,0.0007385678019,0.101926528
212,0.001052934986,0.001000119894,0.1916977211
213,0.0009378583579,0.0009387819792,0.1401250869
