train_sizes,train_mse,train_mse_std,cv_mse,cv_mse_std
77,0.0002288667533,6.328582344e-05,0.003754227306,0.001772408855
140,0.000341618779,0.0001268138751,0.004259777893,0.002444218496
203,0.0003768550315,0.0001429232394,0.003821424723,0.002565191372
266,0.0003762421559,0.0001112117453,0.003789249023,0.003171755622
329,0.0004037702745,9.860901034e-05,0.004429296662,0.004639965686
392,0.0003806334329,7.182220905e-05,0.00423200139,0.004225482031
455,0.0003891372564,6.003907454e-05,0.002770632442,0.001899804393
518,0.0003694453476,5.481285874e-05,0.002603761527,0.001763106099
