train_sizes,train_mse,train_mse_std,cv_mse,cv_mse_std
77,0.006605498535,0.001883680116,0.009350172432,0.001275443858
140,0.00475436276,0.001272845631,0.006522417833,0.001148264466
203,0.004613857527,0.0007892182724,0.00571387524,0.000814505731
266,0.004457951915,0.0005617137984,0.005367617121,0.0009166345421
329,0.004306006565,0.0004707362063,0.005514159649,0.001126284917
392,0.004075956055,0.0001853041195,0.005474884493,0.001071171992
455,0.004151821936,0.0002472805175,0.005604053215,0.001203164986
518,0.003926737386,0.0002193544435,0.005263232676,0.001157469293
