epoch,train_mse,val_mse,grad_norm
1,0.05010771483,0.04676411131,3.573427504
2,0.01818432847,0.01094595294,1.185797019
3,0.01119670821,0.008102762057,0.4450676195
4,0.00832952288,0.006450050852,0.5822456675
5,0.007953678973,0.006425961251,0.342524283
6,0.006668492825,0.004898531988,0.3541407363
7,0.006986253354,0.004776191344,0.6747144986
8,0.007639174943,0.005847093512,0.4737856194
9,0.005452447804,0.003873191812,0.3185291606
10,0.006045138815,0.004908292464,0.4112244039
11,0.004716509643,0.003188744163,0.5557125425
12,0.009211335961,0.006287923641,0.5137908831
13,0.006281180372,0.005053181481,0.6155633641
14,0.004104032766,0.003026193125,0.299100467
15,0.003649620091,0.002403764998,0.2512964912
16,0.00395774904,0.002913277761,0.2542634805
17,0.003528586296,0.002095219903,0.3977335215
18,0.002961974454,0.001908823279,0.2713640451
19,0.003894166362,0.00246334149,0.776403434
20,0.002950490901,0.001815510032,1.281616029
21,0.00360999604,0.002807202341,0.2089683142
22,0.003443658731,0.002235080382,0.1871676779
23,0.002704911625,0.001549289127,0.210445565
24,0.002770951153,0.001796227282,0.3494255528
25,0.002668978023,0.001642987798,0.2409943046
26,0.003115306506,0.002043842406,0.3225359617
27,0.002264633261,0.001315136771,0.2225842223
28,0.003347107221,0.002474049821,0.2992807605
29,0.002277379543,0.00140442204,0.2904874958
30,0.002187108139,0.001443509796,0.1927164225
31,0.002832875976,0.002015300152,0.3503931521
32,0.002388835247,0.001501526413,0.2293788815
33,0.002886302393,0.001828864364,0.2513045228
34,0.002853018865,0.001825557839,0.167194872
35,0.002171296759,0.001425709581,0.2557322505
36,0.002008920324,0.001171770762,0.2124779272
37,0.002424794375,0.001678817917,0.2740164046
38,0.002586420786,0.001747386146,0.255671475
39,0.002080418524,0.001186216661,0.3352271609
40,0.002112960694,0.001462207096,0.1729708762
41,0.002558654899,0.001577162819,0.3397853626
42,0.002142527565,0.001254679223,0.3144757685
43,0.001885992421,0.00118058738,0.2900753123
44,0.003518727495,0.0022736167,0.3499150204
45,0.002166202398,0.001535806457,0.2262613059
46,0.001765929188,0.001050451365,0.2459701868
47,0.001895209472,0.001102105812,0.3974157431
48,0.002247611742,0.001325896526,0.2755002597
49,0.001859227963,0.001092243651,0.2544889064
50,0.001695373753,0.0008689821735,0.2927752931
51,0.002133136281,0.001562918034,0.2883040121
52,0.002282108139,0.001654567746,0.4309655173
53,0.001958573302,0.001110627724,0.58007435
54,0.00171546562,0.0009208553367,0.1512234062
55,0.002015845346,0.001156746274,0.2048786184
56,0.00155216419,0.0007934140372,0.1909410154
57,0.001599866915,0.0008523330878,0.207994707
58,0.001609473515,0.0008686700292,0.1756200544
59,0.001506401766,0.0007494079262,0.3932445326
60,0.00175983552,0.000929455259,0.2917530592
61,0.002985999296,0.002229766565,0.1771403948
62,0.002003923251,0.001294066712,0.3362095547
63,0.003564762013,0.002344184513,0.2753858223
64,0.001580326029,0.000780524889,0.2180163809
65,0.00185806805,0.001135461618,0.1631349766
66,0.001427944594,0.0007226187158,0.2161728651
67,0.001685216212,0.0009041630675,0.30792635
68,0.002281583653,0.001438084258,0.2467202743
69,0.001839731161,0.001121876434,0.1611098092
70,0.003475810983,0.002804820523,0.2511456057
71,0.002132432226,0.00119068153,0.2651846868
72,0.002061041813,0.001280185106,0.250230758
73,0.002049639422,0.001363270964,0.1827317342
74,0.001880205911,0.001044267242,0.2425793442
75,0.001851050317,0.00110604921,0.2877467673
76,0.002377358413,0.001395667098,0.2789335949
77,0.001900067629,0.001411234152,0.1747629996
78,0.002077240177,0.001550032788,0.2351235348
79,0.003248367823,0.003142933134,0.3706995625
80,0.002779096526,0.00229287092,0.2509972323
81,0.002051499125,0.001265873369,0.2091241075
82,0.001848778909,0.001101879184,0.4156743168
83,0.001833656806,0.001185941673,0.1680655819
84,0.001978465259,0.00111138666,0.2975967571
85,0.001632668565,0.001069048276,0.1874725039
