epoch,train_loss,val_loss,train_rmse,val_rmse,val_mae,train_r2,val_r2,lr
1,0.8360987305641174,0.4934055209159851,0.6707940121666717,0.6864551445353295,0.6626290278755393,-17.674369136541568,-19.633903756052153,0.005
2,0.4754981994628906,0.24515576660633087,0.4870241413097231,0.49483814237130436,0.45622248263510423,-8.843931056817269,-9.722187759495647,0.005
3,0.2381705939769745,0.10553739964962006,0.3231838339784998,0.3248651838299257,0.2811668057502664,-3.3347778177150094,-3.621292017446738,0.005
4,0.1046292781829834,0.045339956879615784,0.21271453967739903,0.21293182399192068,0.17768262540703642,-0.8778544917551101,-0.9853552145471958,0.005
5,0.04524747654795647,0.03545661270618439,0.18732896506451183,0.18829926451245357,0.15085908903861284,-0.45638920889212864,-0.552581187783094,0.005
6,0.03512181341648102,0.04469810426235199,0.2127979108348138,0.21141925289890226,0.16915253816495937,-0.8793267896380261,-0.9572492705115199,0.005
7,0.04552295058965683,0.04953432455658913,0.22838690784421586,0.22256307723042057,0.1810803930436004,-1.164761193634725,-1.1690187537776269,0.005
8,0.05235688015818596,0.04607876017689705,0.22531139338831366,0.21465963343505945,0.17482024286118103,-1.1068513342157962,-1.0177057844381574,0.005
9,0.05077129602432251,0.03888396546244621,0.21121852993009274,0.19719016365404138,0.15756394367636264,-0.8515336785078698,-0.7026585639186411,0.005
10,0.04461326822638512,0.032630786299705505,0.19618766095783738,0.18063993710514947,0.1415144550638926,-0.5973900080168144,-0.42884335358185144,0.005
11,0.038489602506160736,0.029806699603796005,0.18632485472183818,0.1726461697008126,0.13482227909916938,-0.4408181390886601,-0.3051816746578728,0.005
12,0.034716952592134476,0.029297176748514175,0.18102049825901123,0.17116417651280508,0.1351847340479899,-0.35995048646367134,-0.2828705110272811,0.005
13,0.03276842087507248,0.029442884027957916,0.1779984810873501,0.17158927962787976,0.13631520672851122,-0.31492256286896625,-0.2892506950079705,0.005
14,0.031683459877967834,0.029339872300624847,0.1754162886000479,0.17128885603593832,0.1371286474006159,-0.2770485874160957,-0.28474013049340297,0.005
