epoch,train_loss,val_loss,train_rmse,val_rmse,val_mae,train_r2,val_r2,lr
1,0.8416587114334106,0.5001665353775024,0.6818085565211023,0.6832719950133598,0.6562377484760697,-17.941161810592106,-20.5309900052839,0.005
2,0.4930667281150818,0.2608611285686493,0.5112846420762057,0.5101077003278268,0.4589987675604648,-9.651412768877664,-11.000532477255646,0.005
3,0.2614596486091614,0.12306582182645798,0.35588466337980745,0.3508073933550266,0.2886732716792841,-4.160600799067358,-4.675632056628374,0.005
4,0.12665389478206635,0.059991706162691116,0.249556629248565,0.24493204022861664,0.19939172038763858,-1.5375811628407345,-1.7667375085925014,0.005
5,0.06227850541472435,0.041289281100034714,0.20827288925429857,0.20319764207884425,0.16758633978963072,-0.7674502711354219,-0.9042066863307261,0.005
6,0.0433775968849659,0.039455246180295944,0.20837584176711058,0.1986334364762006,0.161213225292848,-0.7691980590593266,-0.8196232197272868,0.005
7,0.04342048987746239,0.03648088872432709,0.20634709034538498,0.1909997057543596,0.15487069022280467,-0.7349158651324306,-0.6824499518915537,0.005
8,0.04257912188768387,0.028942357748746872,0.19084183710635463,0.170124406425614,0.13557964629392555,-0.4839829011042751,-0.33478096158044157,0.005
9,0.036420729011297226,0.02187466435134411,0.16992424191127803,0.14789934640374858,0.11692436445054528,-0.17650127426532292,-0.008809741247751246,0.005
10,0.028876498341560364,0.019258856773376465,0.1550413906275727,0.13877628729448419,0.10969447713247064,0.020561818977006596,0.11180712131202497,0.005
11,0.024037832394242287,0.020496411249041557,0.149406435468834,0.14316568204991661,0.11514348636991104,0.0904630882071914,0.05473275122500165,0.005
12,0.022322284057736397,0.02214348502457142,0.14712123349869752,0.1488068810278827,0.11863546010615121,0.11807341412291839,-0.021228169212676562,0.005
13,0.021644655615091324,0.02205931581556797,0.14298734817319633,0.148523784373776,0.11708412231630282,0.16693873114228497,-0.017346207953390147,0.005
14,0.020445384085178375,0.020039517432451248,0.13571629530457147,0.14156100378278533,0.1120452646445789,0.24950861400375302,0.07580412745553233,0.005
15,0.01841891184449196,0.016892921179533005,0.12628194623880218,0.12997276248800538,0.10364221349425831,0.35022312237372955,0.22092107371546343,0.005
16,0.0159471295773983,0.013649540953338146,0.11658664026475447,0.1168312541596167,0.09305638980107205,0.4461664074472206,0.3705013033808138,0.005
17,0.013592444360256195,0.011139275506138802,0.10892404881465305,0.10554276641395247,0.08290204350144091,0.516574815098673,0.48627144693802715,0.005
18,0.011864447966217995,0.009798016399145126,0.10497307879208373,0.09898492463000091,0.07633808303639802,0.5510090475467195,0.5481285828788576,0.005
19,0.011019347235560417,0.009616895578801632,0.10486786566204755,0.09806577025244255,0.07497165424726197,0.5519086318996501,0.5564815964746759,0.005
20,0.010997269302606583,0.010199259966611862,0.10732586307606014,0.10099138379677083,0.07661210575350753,0.5306568335773726,0.5296237302579168,0.005
21,0.011518841609358788,0.0110519640147686,0.11058364221439088,0.10512831612000513,0.08015145965050895,0.5017314229857948,0.49029819201647196,0.005
22,0.012228741310536861,0.01174435019493103,0.1131263622639545,0.10837135116835435,0.08222221319355039,0.4785539718697137,0.4583662301118505,0.005
23,0.012797573581337929,0.012014342471957207,0.11404415202727658,0.10960995671055186,0.08266940300979064,0.4700587076581789,0.4459145191598479,0.005
24,0.013006068766117096,0.011766708455979824,0.1130963250230079,0.10847446023231869,0.08121687854090627,0.47883084315392643,0.45733507347899083,0.005
25,0.012790778651833534,0.011078876443207264,0.11053830254131566,0.10525623737536585,0.07808476696114848,0.502139922880912,0.48905701615437325,0.005
26,0.012218715623021126,0.010149899870157242,0.106988446803293,0.10074671056280811,0.07417117136872654,0.5336032824774032,0.5319001436614983,0.005
27,0.011446528136730194,0.009220602922141552,0.10327737107835666,0.0960239685431427,0.06998262102913066,0.5653976516656807,0.5747580908150445,0.005
28,0.010666214860975742,0.008488664403557777,0.10022044962496553,0.09213394781062169,0.06639104787770003,0.5907446048224642,0.6085141056232125,0.005
29,0.010044138878583908,0.008069981820881367,0.09837174274439746,0.08983307535785928,0.06443942314390552,0.6057039281012726,0.6278232038856172,0.005
30,0.009676999412477016,0.00797641184180975,0.09778105574733022,0.08931076322203425,0.06343908065916103,0.6104249241728052,0.6321384815970066,0.005
31,0.00956113450229168,0.008094868622720242,0.0980801816689803,0.08997149397368437,0.06354047517515772,0.6080377491405211,0.6266753886532759,0.005
32,0.009619721211493015,0.008273711428046227,0.0986614473621893,0.09095994375352467,0.06456938021516319,0.6033781058214165,0.6184274504021419,0.005
33,0.009734081104397774,0.00836937129497528,0.0990391112446565,0.09148426630854954,0.06511661664985821,0.6003358546314244,0.6140157563840062,0.005
34,0.009808745235204697,0.008320112712681293,0.09900168660839057,0.09121465318097165,0.06479757490178115,0.6006378456140051,0.6162874709929891,0.005
35,0.009801385924220085,0.008146878331899643,0.09861904069670359,0.09026005950322495,0.06388366389252642,0.6037189846100481,0.6242768206543567,0.005
36,0.009726044721901417,0.007907154969871044,0.09809913092584079,0.08892218060016023,0.06272879524178264,0.6078862789711714,0.6353325786802358,0.005
37,0.009625285863876343,0.00766917085275054,0.0976280189224255,0.08757302388321965,0.061514390865561944,0.6116434153661279,0.6463143416918107,0.005
38,0.009535797871649265,0.007478093262761831,0.09725153807233994,0.08647226113041923,0.06033322346052541,0.6146328626120355,0.655149874540006,0.005
39,0.009464507922530174,0.007332822307944298,0.0968934794855092,0.08562634301944907,0.05955987797885868,0.6174653113751821,0.6618638914200059,0.005
40,0.009395651519298553,0.007223437074571848,0.09641176262476697,0.08498621961762617,0.05907928364623913,0.6212594849828827,0.6669006538680904,0.005
41,0.009301477111876011,0.007131009362637997,0.09569996304823454,0.0844434562504729,0.05867193416327607,0.6268312567474728,0.6711417368078341,0.005
42,0.009162253700196743,0.007046965882182121,0.09478946228549345,0.08394591651257888,0.058143950661452025,0.6338982211765747,0.6750055774820374,0.005
43,0.00898598413914442,0.006978350225836039,0.09379551172145044,0.08353651838310908,0.05777354549326725,0.6415357628073578,0.6781677960020656,0.005
44,0.008797774091362953,0.0069473301991820335,0.09292912234707026,0.08335064149321258,0.05769338679882021,0.6481274479405597,0.679598418593006,0.005
45,0.008635821752250195,0.006975044030696154,0.09239415324740807,0.08351672633149738,0.05778939516513741,0.6521670667433928,0.6783202793742727,0.005
46,0.008536679670214653,0.007060997188091278,0.09224093199755885,0.08402973874302949,0.058669822370691085,0.6533197631827542,0.6743562222942829,0.005
47,0.008508389815688133,0.007170923985540867,0.09232993866296922,0.08468130733634846,0.059773765676287095,0.652650391383718,0.66928654380053,0.005
48,0.008524817414581776,0.007249845657497644,0.09241606096377869,0.08514601989089933,0.06063036872088205,0.6520020968096945,0.6656468174089085,0.005
49,0.008540729060769081,0.007254608441144228,0.09228354990039615,0.08517399004412364,0.06083875041831037,0.6529993371525502,0.6654271137564298,0.005
50,0.008516252972185612,0.007173492107540369,0.09186161586948074,0.0846964693665881,0.06037375571676021,0.6561651599087945,0.66916810594262,0.005
51,0.008438557386398315,0.007028227671980858,0.0912380412166959,0.08383452497768451,0.059389364595361066,0.6608173527029715,0.6758675040722063,0.005
52,0.008324379101395607,0.006860258057713509,0.09057991816776406,0.08282667082966405,0.05833277838111164,0.6656929249917036,0.6836140649613089,0.005
53,0.008204721845686436,0.006707134190946817,0.09002688421527733,0.08189709259686749,0.057286281108587245,0.6697626739263933,0.6906759226165566,0.005
54,0.008104839362204075,0.006587782874703407,0.08962025739520933,0.0811651582827021,0.05633969056450273,0.6727391202255378,0.6961802251826514,0.005
55,0.008031790144741535,0.0065008290112018585,0.08932836642347065,0.08062771769352221,0.05564424367312424,0.6748674099340302,0.7001904305620332,0.005
56,0.007979556918144226,0.00643902225419879,0.08908104450339711,0.08024351831404708,0.05520751692854517,0.6766652956768853,0.7030408699816022,0.005
57,0.00793543178588152,0.0063970391638576984,0.08882677435938699,0.07998149449486824,0.05499369793419598,0.6785084942437493,0.7049770594126683,0.005
58,0.007890195585787296,0.006370091810822487,0.08853730902257935,0.07981285432750834,0.05484212591478087,0.6806004089035819,0.7062198535574796,0.005
59,0.007838855497539043,0.006350095383822918,0.08820034150505626,0.07968748419216845,0.05476283152110696,0.6830270124924861,0.7071420691513659,0.005
60,0.007779300212860107,0.0063225096091628075,0.08779115125470056,0.07951421288326173,0.05465216987359026,0.6859612730247837,0.7084142566006482,0.005
61,0.00770728662610054,0.006265829782932997,0.08730206853489333,0.07915699675072375,0.05429685974734738,0.6894505333110956,0.7110282588350834,0.005
62,0.007621650118380785,0.006171217188239098,0.08679037445346012,0.07855709360956417,0.053654936606647295,0.693080244189956,0.7153916926112713,0.005
63,0.007532569579780102,0.006058147642761469,0.08634842368033518,0.07783409979652806,0.052933609057408605,0.6961980568501227,0.7206063242133964,0.005
64,0.00745604932308197,0.005953693296760321,0.08600766490496273,0.07716017830100888,0.05234006669448743,0.6985911268274886,0.7254236024636929,0.005
65,0.007397318258881569,0.005875874776393175,0.08572815788758582,0.07665425182232968,0.052003550522207356,0.7005469758655534,0.7290125015602525,0.005
66,0.007349316496402025,0.005817622411996126,0.08542806143996165,0.07627333618389669,0.05180195946617949,0.7026398121634543,0.7316990297341976,0.005
67,0.007297954522073269,0.00576946372166276,0.085078558296483,0.07595698597763807,0.051627121033016726,0.7050679539931979,0.7339200168854388,0.005
68,0.007238361053168774,0.005720337387174368,0.08469386703853901,0.07563291183544404,0.051439010490982824,0.7077290539617898,0.7361856594649225,0.005
69,0.007173051126301289,0.005655880551785231,0.08428452986142071,0.07520558688248567,0.051198517784058276,0.7105473985766224,0.7391583329704683,0.005
70,0.007103882264345884,0.005568713415414095,0.08384960241168608,0.07462381455995373,0.050790945799977144,0.7135269742850519,0.7431783404240926,0.005
71,0.0070307557471096516,0.0054509141482412815,0.08337811368682302,0.07383030395342294,0.05007771557513724,0.7167396085695539,0.7486111157425324,0.005
72,0.006951909512281418,0.005316308233886957,0.08289710366335203,0.07291281096214605,0.0492113683125338,0.7199984510615157,0.7548203385870644,0.005
73,0.006871932186186314,0.005180311854928732,0.08244009765609003,0.07197351686349111,0.04834735105248595,0.7230771995426886,0.761096668394402,0.005
74,0.00679640332236886,0.005060340743511915,0.08200193540437112,0.07113426791802019,0.047624962411800906,0.7260130201664994,0.7666356614551502,0.005
75,0.006724390666931868,0.004958842881023884,0.08154988836424877,0.07041630333798984,0.04707864267887142,0.7290254763656485,0.7713226231417045,0.005
76,0.006650492548942566,0.004873405676335096,0.081060324808775,0.06980630636016077,0.04667932290062939,0.7322691609670998,0.7752674004068738,0.005
77,0.0065709063783288,0.004794253967702389,0.08057689564821567,0.06923667517764374,0.04634964889525818,0.7354530354403117,0.7789201473403167,0.005
78,0.006492773070931435,0.0046934462152421474,0.08006450724726322,0.06850471539743787,0.04584053962175108,0.7388068457694446,0.7835698848753594,0.005
79,0.006410453002899885,0.0045725274831056595,0.07951255828456141,0.06761651929184223,0.04517714647687734,0.74239566113609,0.7891457402681749,0.005
80,0.006322357337921858,0.004449992440640926,0.07896829007083171,0.06670458246225411,0.04456439600633032,0.7459102253169938,0.7947949247650256,0.005
81,0.006236077751964331,0.004343721549957991,0.07847048836342552,0.06590366093301164,0.04411341208977734,0.7491035995231061,0.7996931330411747,0.005
82,0.006157679483294487,0.0042526316829025745,0.07796337817337645,0.065209438029196,0.0436975756541849,0.752335923152316,0.8038909333764992,0.005
83,0.006078328005969524,0.004173802211880684,0.07744542037930432,0.06460261641599296,0.04330385032058551,0.7556157558813618,0.8075238281739758,0.005
84,0.005997815635055304,0.004092286340892315,0.07694221396363113,0.0639687877800376,0.04287197167791188,0.7587812419166209,0.8112821416498582,0.005
85,0.005920118186622858,0.003986596595495939,0.07642295874427865,0.06313712518857774,0.04222573203087127,0.7620260524144229,0.8161573106940538,0.005
86,0.005840483121573925,0.003850660752505064,0.07588315565266658,0.062050739360383814,0.041372837374858716,0.7653759723392498,0.8224295566566759,0.005
87,0.005758277140557766,0.003720211563631892,0.07532908713176616,0.060989643369334816,0.040499320400158446,0.768789725783582,0.8284507019179452,0.005
88,0.005674513056874275,0.003603255143389106,0.07474676628824393,0.06002206043973625,0.039583527408369325,0.7723505856014437,0.8338506841544358,0.005
89,0.005587145686149597,0.003501319559291005,0.0741538431974881,0.05916556898875962,0.038643131141695534,0.7759478847838963,0.838558624726138,0.005
90,0.005498888902366161,0.0034061940386891365,0.0735767260746106,0.05835476087480688,0.03778818203688971,0.7794217746920356,0.8429531083013496,0.005
91,0.005413666367530823,0.003298415569588542,0.07294082997707776,0.05742236225009377,0.036888958734745604,0.7832180486473204,0.8479316383851303,0.005
92,0.005320535972714424,0.0031882498878985643,0.07227800108121796,0.05645353999812876,0.03599872090960716,0.7871400351023595,0.8530197038887224,0.005
93,0.005224321503192186,0.0030978918075561523,0.07163684185759418,0.05564652700893817,0.03528910499836215,0.7908997351869994,0.8571918850213234,0.005
94,0.005132080055773258,0.0030278137419372797,0.07096625027208281,0.055012928361578776,0.03451126239011477,0.7947961820862463,0.8604254346248509,0.005
95,0.005036463495343924,0.0029702612664550543,0.07031281129474143,0.05448750637886812,0.033884869025703805,0.7985577123266204,0.8630788231094979,0.005
96,0.004944142419844866,0.0029074945487082005,0.06964925753734554,0.05390880384606062,0.03312865196557353,0.8023418609563353,0.8659718111615499,0.005
97,0.004851257894188166,0.0028609808068722486,0.06899741790437143,0.05347610214401518,0.032575133592391524,0.8060242692735363,0.8681147442092335,0.005
